"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.190067984426498e-01,4.806306824445360e-01,3026,254280,2.529876786350107e-01,-2.008510948460426e+00,0.000000000000000e+00,1.870040333713647e+00,9.783340245212436e-01,7.153328087039963e-03,0.000000000000000e+00,1.322523862230487e+00,1.000000000000000e+00,5.107427851029037e+00,1,6.000000052154064e-03,1.050099968910217e+00,6.000000052154064e-03,5.000000000000000e-01
7.189776572123829e-01,4.788108530313273e-01,3151,254405,2.461088184947126e-01,-1.996765677894589e+00,0.000000000000000e+00,1.869556910317577e+00,9.782396966126375e-01,7.495180758138819e-03,0.000000000000000e+00,1.322384091420832e+00,1.000000000000000e+00,5.106849317304913e+00,1,6.250000093132257e-03,1.050099968910217e+00,6.250000093132257e-03,5.000000000000000e-01
7.189485159832344e-01,4.769910249298913e-01,3276,254530,2.392299605865819e-01,-1.985020415953745e+00,0.000000000000000e+00,1.869073486920561e+00,9.781453687054477e-01,7.837033434499614e-03,0.000000000000000e+00,1.322244320610418e+00,1.000000000000000e+00,5.106270783579334e+00,1,6.500000134110451e-03,1.050099968910217e+00,6.500000134110451e-03,5.000000000000000e-01
7.189193747540862e-01,4.751711968284554e-01,3401,254655,2.323511026784513e-01,-1.973275154012899e+00,0.000000000000000e+00,1.868590063523545e+00,9.780510407982577e-01,8.178886110860409e-03,0.000000000000000e+00,1.322104549800004e+00,1.000000000000000e+00,5.105692249853754e+00,1,6.750000175088644e-03,1.050099968910217e+00,6.750000175088644e-03,5.000000000000000e-01
7.188902335249379e-01,4.733513687270202e-01,3526,254780,2.254722447703211e-01,-1.961529892072058e+00,0.000000000000000e+00,1.868106640126530e+00,9.779567128910680e-01,8.520738787221122e-03,0.000000000000000e+00,1.321964778989590e+00,1.000000000000000e+00,5.105113716128174e+00,1,7.000000216066837e-03,1.050099968910217e+00,7.000000216066837e-03,5.000000000000000e-01
7.188610923500690e-01,4.715315440152770e-01,3651,254905,2.185933996750591e-01,-1.949784652008459e+00,0.000000000000000e+00,1.867623217629959e+00,9.778623851595776e-01,8.862590826831877e-03,0.000000000000000e+00,1.321825008439519e+00,1.000000000000000e+00,5.104535183480198e+00,1,7.249999791383743e-03,1.050099968910217e+00,7.249999791383743e-03,5.000000000000000e-01
7.188319511209207e-01,4.697117159138410e-01,3776,255030,2.117145417669284e-01,-1.938039390067613e+00,0.000000000000000e+00,1.867139794232944e+00,9.777680572523878e-01,9.204443503192671e-03,0.000000000000000e+00,1.321685237629105e+00,1.000000000000000e+00,5.103956649754618e+00,1,7.499999832361937e-03,1.050099968910217e+00,7.499999832361937e-03,5.000000000000000e-01
7.188028098917725e-01,4.678918878124050e-01,3901,255155,2.048356838587976e-01,-1.926294128126766e+00,0.000000000000000e+00,1.866656370835928e+00,9.776737293451983e-01,9.546296179553469e-03,0.000000000000000e+00,1.321545466818691e+00,1.000000000000000e+00,5.103378116029040e+00,1,7.749999873340130e-03,1.050099968910217e+00,7.749999873340130e-03,5.000000000000000e-01
7.187736686083441e-01,4.660720563212754e-01,4026,255281,1.979568131377975e-01,-1.914548844308668e+00,0.000000000000000e+00,1.866172946538466e+00,9.775794012623089e-01,9.888149492664391e-03,0.000000000000000e+00,1.321405695747934e+00,1.000000000000000e+00,5.102799581225857e+00,1,8.000000379979610e-03,1.050099968910217e+00,8.000000379979610e-03,5.000000000000000e-01
7.187411718301102e-01,4.638469007322020e-01,4151,255406,1.901378156633611e-01,-1.900493219859653e+00,0.000000000000000e+00,1.865704726599781e+00,9.774824262060471e-01,1.018360212588672e-02,0.000000000000000e+00,1.321272072597897e+00,1.000000000000000e+00,5.102240407644457e+00,1,8.249999955296516e-03,1.050099968910217e+00,8.249999955296516e-03,5.000000000000000e-01
7.187086749359168e-01,4.616217374698341e-01,4276,255531,1.823187904897982e-01,-1.886437546560861e+00,0.000000000000000e+00,1.865236504893731e+00,9.773854507925482e-01,1.047905593028150e-02,0.000000000000000e+00,1.321138448940731e+00,1.000000000000000e+00,5.101681231950549e+00,1,8.500000461935997e-03,1.050099968910217e+00,8.500000461935997e-03,5.000000000000000e-01
7.186761781627832e-01,4.593965824968297e-01,4401,255656,1.744997944443160e-01,-1.872381925623435e+00,0.000000000000000e+00,1.864768284931939e+00,9.772884757403104e-01,1.077450863402723e-02,0.000000000000000e+00,1.321004825781351e+00,1.000000000000000e+00,5.101122058339725e+00,1,8.750000037252903e-03,1.050099968910217e+00,8.750000037252903e-03,5.000000000000000e-01
7.186436813896497e-01,4.571714275238252e-01,4526,255781,1.666807983988338e-01,-1.858326304686009e+00,0.000000000000000e+00,1.864300064970147e+00,9.771915006880723e-01,1.106996133777297e-02,0.000000000000000e+00,1.320871202621971e+00,1.000000000000000e+00,5.100562884728902e+00,1,8.999999612569809e-03,1.050099968910217e+00,8.999999612569809e-03,5.000000000000000e-01
7.186111844954559e-01,4.549462642614585e-01,4651,255906,1.588617732252719e-01,-1.844270631387225e+00,0.000000000000000e+00,1.863831843264097e+00,9.770945252745736e-01,1.136541514216766e-02,0.000000000000000e+00,1.320737578964804e+00,9.999999999999999e-01,5.100003709034991e+00,1,9.250000119209290e-03,1.050099968910217e+00,9.250000119209290e-03,5.000000000000000e-01
7.185786877223226e-01,4.527211092884541e-01,4776,256031,1.510427771797897e-01,-1.830215010449798e+00,0.000000000000000e+00,1.863363623302306e+00,9.769975502223356e-01,1.166086784591340e-02,0.000000000000000e+00,1.320603955805425e+00,1.000000000000000e+00,5.099444535424169e+00,1,9.499999694526196e-03,1.050099968910217e+00,9.499999694526196e-03,5.000000000000000e-01
7.185461908281288e-01,4.504959460260873e-01,4901,256156,1.432237520062279e-01,-1.816159337151015e+00,0.000000000000000e+00,1.862895401596256e+00,9.769005748088369e-01,1.195632165030809e-02,0.000000000000000e+00,1.320470332148258e+00,1.000000000000000e+00,5.098885359730257e+00,1,9.750000201165676e-03,1.050099968910217e+00,9.750000201165676e-03,5.000000000000000e-01
7.185136940549952e-01,4.482707910530830e-01,5026,256282,1.354047559607471e-01,-1.802103716213589e+00,0.000000000000000e+00,1.862427181634464e+00,9.768035997565987e-01,1.225177435405374e-02,0.000000000000000e+00,1.320336708988878e+00,1.000000000000000e+00,5.098326186119435e+00,1,9.999999776482582e-03,1.050099968910217e+00,9.999999776482582e-03,5.000000000000000e-01
7.184822684871294e-01,4.450628550586638e-01,5151,256407,1.387592482511874e-01,-1.781604653266307e+00,0.000000000000000e+00,1.861997276786404e+00,9.767118744822602e-01,1.251473890810420e-02,0.000000000000000e+00,1.320213941458388e+00,9.999999999999999e-01,5.097810434008358e+00,1,1.025000028312206e-02,1.050099968910217e+00,1.025000028312206e-02,5.000000000000000e-01
