"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.511740195527138e-01,9.299239932447352e-01,1.560490843664632e-02,7.687659655652845e+00,-4.963514674159458e-01,-5.180822716856156e-13,1.957212939040671e+00,8.957677989119052e-01,-3.125295714826956e-03,0.000000000000000e+00,1.351682138562343e+00,2.131770744893876e+00,9.819102786116353e-01,5.132092976797057e+00,1,5.750000011175871e-03,5.200999975204468e-01,5.750000011175871e-03,5.000000000000000e-01
6.512820115299842e-01,9.245669662936173e-01,1.560490843664632e-02,7.595712396781877e+00,-5.111173571207688e-01,-5.153320448064826e-13,1.957015757688837e+00,8.958904503632070e-01,-3.277142176286297e-03,0.000000000000000e+00,1.351607338029986e+00,2.132266325844728e+00,9.819102786116357e-01,5.131942172300919e+00,1,6.000000052154064e-03,5.200999975204468e-01,6.000000052154064e-03,5.000000000000000e-01
6.513900035072546e-01,9.192099393424994e-01,1.560490843664632e-02,7.503765137910905e+00,-5.258832468255915e-01,-5.125818179273492e-13,1.956818576337004e+00,8.960131018145088e-01,-3.428988637745638e-03,0.000000000000000e+00,1.351532537497628e+00,2.132761906795578e+00,9.819102786116358e-01,5.131791367804780e+00,1,6.250000093132257e-03,5.200999975204468e-01,6.250000093132257e-03,5.000000000000000e-01
6.514979954845247e-01,9.138529123913982e-01,1.560490843664632e-02,7.411817879040089e+00,-5.406491365304233e-01,-5.098315910482498e-13,1.956621394985170e+00,8.961357532658104e-01,-3.580835099204932e-03,0.000000000000000e+00,1.351457736965271e+00,2.133257487746459e+00,9.819102786116559e-01,5.131640563308641e+00,1,6.500000134110451e-03,5.200999975204468e-01,6.500000134110451e-03,5.000000000000000e-01
6.516059874617950e-01,9.084958854402629e-01,1.560490843664632e-02,7.319870620168964e+00,-5.554150262352373e-01,-5.070813641690823e-13,1.956424213633337e+00,8.962584047171122e-01,-3.732681560664319e-03,0.000000000000000e+00,1.351382936432913e+00,2.133753068697279e+00,9.819102786116362e-01,5.131489758812503e+00,1,6.750000175088644e-03,5.200999975204468e-01,6.750000175088644e-03,5.000000000000000e-01
6.517139794390653e-01,9.031388584891443e-01,1.560490843664632e-02,7.227923361297992e+00,-5.701809159400599e-01,-5.043311372899489e-13,1.956227032281503e+00,8.963810561684138e-01,-3.884528022123658e-03,0.000000000000000e+00,1.351308135900556e+00,2.134248649648130e+00,9.819102786116360e-01,5.131338954316364e+00,1,7.000000216066837e-03,5.200999975204468e-01,7.000000216066837e-03,5.000000000000000e-01
6.518219712151849e-01,8.977818415162648e-01,1.560490843664632e-02,7.135976273692110e+00,-5.849467781412746e-01,-5.015809155335116e-13,1.956029851296949e+00,8.965037073912594e-01,-4.036374200746971e-03,0.000000000000000e+00,1.351233335507526e+00,2.134744229675890e+00,9.819102786116363e-01,5.131188150101121e+00,1,7.249999791383743e-03,5.200999975204468e-01,7.249999791383743e-03,5.000000000000000e-01
6.519299631924553e-01,8.924248145651635e-01,1.560490843664632e-02,7.044029014821286e+00,-5.997126678461069e-01,-4.988306886544118e-13,1.955832669945115e+00,8.966263588425613e-01,-4.188220662206259e-03,0.000000000000000e+00,1.351158534975168e+00,2.135239810626771e+00,9.819102786116565e-01,5.131037345604984e+00,1,7.499999832361937e-03,5.200999975204468e-01,7.499999832361937e-03,5.000000000000000e-01
6.520379551697256e-01,8.870677876140287e-01,1.560490843664632e-02,6.952081755950169e+00,-6.144785575509203e-01,-4.960804617752447e-13,1.955635488593282e+00,8.967490102938630e-01,-4.340067123665652e-03,0.000000000000000e+00,1.351083734442811e+00,2.135735391577591e+00,9.819102786116367e-01,5.130886541108846e+00,1,7.749999873340130e-03,5.200999975204468e-01,7.749999873340130e-03,5.000000000000000e-01
6.521459473481466e-01,8.817107506846720e-01,1.560490843664633e-02,6.860134325814111e+00,-6.292444747593513e-01,-4.933302297734156e-13,1.955438306874170e+00,8.968716619736208e-01,-4.491913867961019e-03,0.000000000000000e+00,1.351008933771127e+00,2.136230973451533e+00,9.819102786116367e-01,5.130735736331813e+00,1,8.000000379979610e-03,5.200999975204468e-01,8.000000379979610e-03,5.000000000000000e-01
6.522539391242661e-01,8.763537337117761e-01,1.560490843664632e-02,6.768187238208085e+00,-6.440103369605558e-01,-4.905800080169446e-13,1.955241125889615e+00,8.969943131964662e-01,-4.643760046584388e-03,0.000000000000000e+00,1.350934133378096e+00,2.136726553479262e+00,9.819102786116167e-01,5.130584932116569e+00,1,8.249999955296516e-03,5.200999975204468e-01,8.249999955296516e-03,5.000000000000000e-01
6.523619313026869e-01,8.709966967824353e-01,1.560490843664632e-02,6.676239808072167e+00,-6.587762541689970e-01,-4.878297760151486e-13,1.955043944170503e+00,8.971169648762239e-01,-4.795606790879699e-03,0.000000000000000e+00,1.350859332706412e+00,2.137222135353234e+00,9.819102786116368e-01,5.130434127339536e+00,1,8.500000461935997e-03,5.200999975204468e-01,8.500000461935997e-03,5.000000000000000e-01
6.524699230788068e-01,8.656396798095560e-01,1.560490843664632e-02,6.584292720466286e+00,-6.735421163702116e-01,-4.850795542587113e-13,1.954846763185948e+00,8.972396160990697e-01,-4.947452969503011e-03,0.000000000000000e+00,1.350784532313381e+00,2.137717715380994e+00,9.819102786116372e-01,5.130283323124294e+00,1,8.750000037252903e-03,5.200999975204468e-01,8.750000037252903e-03,5.000000000000000e-01
6.525779148549263e-01,8.602826628366764e-01,1.560490843664632e-02,6.492345632860403e+00,-6.883079785714260e-01,-4.823293325022739e-13,1.954649582201394e+00,8.973622673219153e-01,-5.099299148126323e-03,0.000000000000000e+00,1.350709731920351e+00,2.138213295408753e+00,9.819102786116373e-01,5.130132518909050e+00,1,8.999999612569809e-03,5.200999975204468e-01,8.999999612569809e-03,5.000000000000000e-01
6.526859070333473e-01,8.549256259073192e-01,1.560490843664632e-02,6.400398202724341e+00,-7.030738957798572e-01,-4.795791005004445e-13,1.954452400482281e+00,8.974849190016732e-01,-5.251145892421693e-03,0.000000000000000e+00,1.350634931248667e+00,2.138708877282695e+00,9.819102786116374e-01,5.129981714132015e+00,1,9.250000119209290e-03,5.200999975204468e-01,9.250000119209290e-03,5.000000000000000e-01
6.527938988094671e-01,8.495686089344554e-01,1.560490843664632e-02,6.308451115118592e+00,-7.178397579810822e-01,-4.768288787440396e-13,1.954255219497726e+00,8.976075702245188e-01,-5.402992071044940e-03,0.000000000000000e+00,1.350560130855636e+00,2.139204457310484e+00,9.819102786116576e-01,5.129830909916771e+00,1,9.499999694526196e-03,5.200999975204468e-01,9.499999694526196e-03,5.000000000000000e-01
6.529018909878880e-01,8.442115720050832e-01,1.560490843664632e-02,6.216503684982401e+00,-7.326056751895030e-01,-4.740786467421777e-13,1.954058037778614e+00,8.977302219042765e-01,-5.554838815340375e-03,0.000000000000000e+00,1.350485330183952e+00,2.139700039184397e+00,9.819102786116376e-01,5.129680105139739e+00,1,9.750000201165676e-03,5.200999975204468e-01,9.750000201165676e-03,5.000000000000000e-01
6.530098827640075e-01,8.388545550322035e-01,1.560490843664632e-02,6.124556597376520e+00,-7.473715373907173e-01,-4.713284249857403e-13,1.953860856794060e+00,8.978528731271223e-01,-5.706684993963684e-03,0.000000000000000e+00,1.350410529790921e+00,2.140195619212156e+00,9.819102786116378e-01,5.129529300924497e+00,1,9.999999776482582e-03,5.200999975204468e-01,9.999999776482582e-03,5.000000000000000e-01
