"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.189795934961893e-01,4.009572412971588e-02,2.415122025061144e-07,5.631236509997656e-02,-7.462169757542432e-02,8.210135906699867e-16,1.861404237963285e+00,9.774163262080955e-01,2.147809216708801e-03,0.000000000000000e+00,1.320081026297389e+00,0.000000000000000e+00,5.097957764122208e+00,1,2.499999944120646e-03,1.050099968910217e+00,2.499999944120646e-03,5.000000000000000e-01
7.189778843310788e-01,4.148515829644488e-02,2.483359881900987e-07,5.600693563749730e-02,-8.023327170879141e-02,6.433206578812384e-16,1.861399611470853e+00,9.774143543046097e-01,2.325248891824191e-03,0.000000000000000e+00,1.320082739379572e+00,0.000000000000000e+00,5.097962108734924e+00,1,2.749999985098839e-03,1.050099968910217e+00,2.749999985098839e-03,5.000000000000000e-01
7.189761751659685e-01,4.287459246317386e-02,2.551597738740850e-07,5.570150617501814e-02,-8.584484584215832e-02,4.656277250925181e-16,1.861394984978421e+00,9.774123824011236e-01,2.502688566939593e-03,0.000000000000000e+00,1.320084452461756e+00,0.000000000000000e+00,5.097966453347642e+00,1,3.000000026077032e-03,1.050099968910217e+00,3.000000026077032e-03,5.000000000000000e-01
7.189744660008581e-01,4.426402662990284e-02,2.619835595580714e-07,5.539607671253897e-02,-9.145641997552523e-02,2.879347923037997e-16,1.861390358485989e+00,9.774104104976380e-01,2.680128242054994e-03,0.000000000000000e+00,1.320086165543940e+00,0.000000000000000e+00,5.097970797960359e+00,1,3.250000067055225e-03,1.050099968910217e+00,3.250000067055225e-03,5.000000000000000e-01
7.189651859660376e-01,1.832181496328639e-01,2.664938441837344e-07,5.705004889063753e-02,-5.217621336690147e-01,6.531482440440127e-16,1.861064353237023e+00,9.773616305775663e-01,3.402320638352637e-03,0.000000000000000e+00,1.319994845961883e+00,0.000000000000000e+00,5.097605809599693e+00,1,3.500000108033419e-03,1.050099968910217e+00,3.500000108033419e-03,5.000000000000000e-01
7.189546718414386e-01,1.817739002704965e-01,2.698473768376144e-07,5.794704026428715e-02,-5.166358236294625e-01,6.536476886971624e-16,1.860951763647837e+00,9.773340746633633e-01,3.606118148278777e-03,0.000000000000000e+00,1.319961624620988e+00,0.000000000000000e+00,5.097463550091851e+00,1,3.749999916180968e-03,1.050099968910217e+00,3.749999916180968e-03,5.000000000000000e-01
7.189441576972552e-01,1.803296482180032e-01,2.732009157379426e-07,5.884403330871475e-02,-5.115095040414073e-01,6.541471342806273e-16,1.860839173848938e+00,9.773065186978335e-01,3.809916037807673e-03,0.000000000000000e+00,1.319928403218213e+00,0.000000000000000e+00,5.097321290319033e+00,1,4.000000189989805e-03,1.050099968910217e+00,4.000000189989805e-03,5.000000000000000e-01
7.189336435628640e-01,1.788853975105728e-01,2.765544515150455e-07,5.974102551775332e-02,-5.063831892276031e-01,6.546465793989201e-16,1.860726584154895e+00,9.772789627579670e-01,4.013713737535183e-03,0.000000000000000e+00,1.319895181846377e+00,0.000000000000000e+00,5.097179030678703e+00,1,4.250000230967999e-03,1.050099968910217e+00,4.250000230967999e-03,5.000000000000000e-01
7.189231294480568e-01,1.774411494932685e-01,2.799079810457023e-07,6.063801605601396e-02,-5.012568839623027e-01,6.551460235869236e-16,1.860613994670566e+00,9.772514068694275e-01,4.217511057659959e-03,0.000000000000000e+00,1.319861960536422e+00,0.000000000000000e+00,5.097036771303350e+00,1,4.499999806284904e-03,1.050099968910217e+00,4.499999806284904e-03,5.000000000000000e-01
7.189126153136656e-01,1.759968987858380e-01,2.832615168228053e-07,6.153500826505254e-02,-4.961305691484985e-01,6.556454687052162e-16,1.860501404976524e+00,9.772238509295612e-01,4.421308757387469e-03,0.000000000000000e+00,1.319828739164586e+00,0.000000000000000e+00,5.096894511663021e+00,1,4.749999847263098e-03,1.050099968910217e+00,4.749999847263098e-03,5.000000000000000e-01
