iter4 log_res CL CD CM
221 -5.429715 0.14858246 2.238172 -2.103828
222 -5.430778 0.14906334 2.237456 -2.109946
223 -5.431952 0.14950236 2.23652 -2.115396
224 -5.433186 0.1498981 2.235366 -2.120168
225 -5.434412 0.15024946 2.234002 -2.124246
226 -5.435564 0.15055554 2.232432 -2.127624
227 -5.436579 0.15081572 2.230662 -2.130296
228 -5.43741 0.15102968 2.228698 -2.132266
229 -5.438024 0.15119738 2.226552 -2.133534
230 -5.438407 0.15131906 2.22423 -2.13411
231 -5.438565 0.15139528 2.221742 -2.134008
232 -5.438613 0.15142686 2.219098 -2.13324
233 -5.43858 0.1514149 2.21631 -2.13183
234 -5.438488 0.15136072 2.213388 -2.129798
235 -5.438384 0.15126594 2.210342 -2.127172
236 -5.438313 0.15113232 2.207186 -2.123982
237 -5.438317 0.1509619 2.203932 -2.12026
238 -5.438429 0.15075682 2.200592 -2.116038
239 -5.438671 0.15051936 2.197178 -2.111356
240 -5.439055 0.15025194 2.1937 -2.106246
241 -5.439584 0.14995698 2.190174 -2.100752
242 -5.440257 0.149637 2.18661 -2.094906
243 -5.441066 0.14929444 2.183018 -2.088752
244 -5.44201 0.1489318 2.179412 -2.082324
245 -5.443095 0.14855146 2.175802 -2.075658
246 -5.444369 0.14815576 2.172198 -2.068792
247 -5.445657 0.14774694 2.168608 -2.06176
248 -5.44691 0.14732712 2.165046 -2.054592
249 -5.4481 0.14689834 2.161516 -2.04732
250 -5.449205 0.14646248 2.158028 -2.039974
251 -5.450206 0.14602128 2.15459 -2.03258
252 -5.451087 0.14557638 2.151208 -2.025162
253 -5.451836 0.1451292 2.147886 -2.01774
254 -5.452443 0.14468096 2.144634 -2.010336
255 -5.452903 0.14423266 2.14145 -2.002962
256 -5.453205 0.14378504 2.138344 -1.9956334
257 -5.453346 0.14333854 2.135316 -1.988356
258 -5.453334 0.14289334 2.13237 -1.981134
259 -5.453189 0.1424493 2.129508 -1.9739672
260 -5.452936 0.14200602 2.126732 -1.9668522
261 -5.452608 0.1415629 2.124044 -1.959782
262 -5.452242 0.14111922 2.121446 -1.952748
263 -5.451878 0.14067418 2.118938 -1.9457412
264 -5.451555 0.14022708 2.11652 -1.9387532
265 -5.451302 0.13977742 2.114196 -1.931778
266 -5.451139 0.13932506 2.111964 -1.9248148
267 -5.45107 0.13887034 2.109824 -1.917868
268 -5.451079 0.13841416 2.107782 -1.91095
269 -5.451138 0.13795806 2.105832 -1.9040816
270 -5.451199 0.13750426 2.10398 -1.8972918
271 -5.45121 0.13705566 2.102226 -1.8906184
272 -5.451113 0.13661566 2.100568 -1.8841062
273 -5.450859 0.13618822 2.099008 -1.8778062
274 -5.45041 0.13577756 2.097548 -1.8717734
275 -5.449751 0.1353881 2.096184 -1.8660646
276 -5.448883 0.13502428 2.094918 -1.8607368
277 -5.447827 0.1346904 2.093748 -1.8558452
278 -5.44662 0.13439058 2.09267 -1.8514416
279 -5.445305 0.13412862 2.091682 -1.8475738
280 -5.443936 0.13390788 2.090782 -1.8442842
281 -5.442571 0.13373142 2.089962 -1.8416096
282 -5.441263 0.13360184 2.08922 -1.8395812
283 -5.440056 0.13352134 2.088548 -1.8382252
284 -5.438982 0.13349178 2.087942 -1.8375626
285 -5.438061 0.1335147 2.087392 -1.8376092
286 -5.437298 0.13359126 2.086894 -1.8383776
287 -5.436686 0.13372242 2.086436 -1.8398758
288 -5.43621 0.13390884 2.086012 -1.8421084
289 -5.435848 0.13415092 2.085612 -1.8450768
290 -5.435572 0.13444878 2.08523 -1.8487784
