,x/h,pressure
178,-9.805481914478844097e-01,6.126231243060360487e-01
179,-9.511930473122346408e-01,6.090204518044082249e-01
180,-9.216928031197737514e-01,6.055049654314325069e-01
181,-8.920487167781985249e-01,6.020772806716979675e-01
182,-8.622619315585253741e-01,5.987357941720683474e-01
183,-8.323335029196355928e-01,5.938880678900330112e-01
184,-8.022644600719418539e-01,5.923408036168481550e-01
185,-7.720558092739027156e-01,5.892776036542414220e-01
186,-7.417084493912102783e-01,5.862763608462998599e-01
187,-7.112231875711494400e-01,5.833301813760028987e-01
188,-6.806007487946489354e-01,5.804379296178479031e-01
189,-6.498417866108882057e-01,5.776023760114130656e-01
190,-6.189468939975963924e-01,5.734584475270306791e-01
191,-5.879166250058134313e-01,5.721271122209292681e-01
192,-5.567515210747222554e-01,5.694850298801323873e-01
193,-5.254520657437539155e-01,5.668842094995271141e-01
194,-4.940186878097284073e-01,5.643204188049689707e-01
195,-4.624517684474140911e-01,5.617900339479930949e-01
196,-4.307516496809300488e-01,5.592969010383457285e-01
197,-3.989186392141496063e-01,5.556327849672573205e-01
198,-3.669530220225170614e-01,5.544459830513023268e-01
199,-3.348550691573007332e-01,5.520916834351820013e-01
200,-3.026250264253654843e-01,5.497622253170331152e-01
201,-2.702631077701475038e-01,5.474462761774369080e-01
202,-2.377695079515720344e-01,5.451435200801567627e-01
203,-2.051443977577920574e-01,5.428522571045454326e-01
204,-1.723879372429267531e-01,5.394478116955998548e-01
205,-1.395002737254560921e-01,5.383120146781309456e-01
206,-1.064815438118664331e-01,5.360271063651198542e-01
207,-7.333186698614088672e-02,5.336891542535020516e-01
208,-4.005136003834670888e-02,5.312254922574262128e-01
209,-6.640113322493894008e-03,5.286049707184757862e-01
210,2.690174646796650304e-02,5.258319222606194776e-01
211,6.057414837301107469e-02,5.214190238923662735e-01
212,9.437698297229878130e-02,5.199016641337587119e-01
213,1.283101284204600512e-01,5.168289429386527800e-01
214,1.623734860253959744e-01,5.136920245903772164e-01
215,1.965669357811582474e-01,5.105004381993206719e-01
216,2.308903576634293298e-01,5.072552913145408349e-01
217,2.653436276494604562e-01,5.039647689381779871e-01
218,2.999266165877979562e-01,4.989638579459755863e-01
219,3.346391915364942959e-01,4.972766132978824749e-01
220,3.694812165909475699e-01,4.938867926115373397e-01
221,4.044525512989118332e-01,4.904678628868589518e-01
222,4.395530507612400717e-01,4.870209712227110410e-01
223,4.747825651855832607e-01,4.835465102860484476e-01
224,5.101409398713565579e-01,4.800436231963237654e-01
225,5.456280138647536804e-01,4.782846590655400187e-01
226,5.812436220790150321e-01,4.729583114896940277e-01
227,6.169875934038445697e-01,4.693747127237009042e-01
228,6.528597496640750064e-01,4.657646909085780829e-01
229,6.888599073152246177e-01,4.621292614909665031e-01
230,7.249878758347786389e-01,4.584735685938866045e-01
231,7.612434625007141742e-01,4.548024973735260157e-01
232,7.976264732159287218e-01,4.492694960712204644e-01
233,8.341367080538097944e-01,4.474142265574032606e-01
234,8.707739619496893679e-01,4.436962309096912915e-01
235,9.075380232150103144e-01,4.399627469899958232e-01
236,9.444286751311511408e-01,4.362135706178065786e-01
237,9.814456946032843465e-01,4.324485417204888549e-01
238,1.018588850921690048e+00,4.286676000654406904e-01
239,1.055857907832656428e+00,4.229679634322876525e-01
240,1.093252621771410693e+00,4.210587191597535139e-01
241,1.130772742262700081e+00,4.172326793815168688e-01
242,1.168418011042537730e+00,4.133969587958306047e-01
243,1.206188172976405459e+00,4.095582979136252466e-01
244,1.244082977292546799e+00,4.057181294567431817e-01
245,1.282102168809703402e+00,4.018763767649772278e-01
246,1.320245487892347303e+00,3.961111350135194664e-01
247,1.358512669592244038e+00,3.941887530907535742e-01
248,1.396903444151963658e+00,3.903439490780347687e-01
249,1.435417536949299633e+00,3.864984111592543736e-01
250,1.474054668331139517e+00,3.826516209300782623e-01
251,1.512814553007108653e+00,3.788041575094059921e-01
252,1.551696900458701789e+00,3.749575184399379091e-01
253,1.590701415381715833e+00,3.691884190559887591e-01
254,1.629827799113583886e+00,3.672763932561955991e-01
255,1.669075779120221092e+00,3.634562645729881303e-01
256,1.708445091648716163e+00,3.596524609596662425e-01
257,1.747935471656689499e+00,3.558673042264917652e-01
258,1.787546653457381396e+00,3.520979174895966790e-01
259,1.827278369842375350e+00,3.483447157841000341e-01
260,1.867130352934572191e+00,3.427432981346322238e-01
261,1.907102333763836866e+00,3.408753453681401258e-01
262,1.947194042431994454e+00,3.371719088979028833e-01
263,1.987405207984113797e+00,3.335571091291072987e-01
264,2.027735558486220224e+00,3.302628579617331028e-01
265,2.068184848778969798e+00,3.275738118367750862e-01
266,2.108752880872279523e+00,3.322108238358638110e-01
267,2.149439447338681308e+00,3.902815775289073530e-01
268,2.190244342656074483e+00,4.173757195669217657e-01
269,2.231167363476618259e+00,4.604693455227842902e-01
270,2.272208309210989263e+00,4.866307147167486802e-01
271,2.313367008428124816e+00,5.017599950304728607e-01
272,2.354643326225852373e+00,5.108933313272988608e-01
273,2.396037132743447984e+00,5.175505170528850174e-01
274,2.437548300400139034e+00,5.236547481414270955e-01
275,2.479176704291650157e+00,5.251015450425288167e-01
276,2.520922238670281867e+00,5.278588427958621487e-01
277,2.562784865775856957e+00,5.303490231090122187e-01
278,2.604764557515706791e+00,5.326862226495567842e-01
279,2.646861286436345662e+00,5.349774508374780524e-01
280,2.689075024005327386e+00,5.372474394716491020e-01
281,2.731405750860595560e+00,5.406436140080469466e-01
282,2.773853538495254512e+00,5.417723956925961648e-01
283,2.816418489780295520e+00,5.440201695637775225e-01
284,2.859100695666220826e+00,5.462521294541564654e-01
285,2.901900237954815776e+00,5.484607734539405088e-01
286,2.944817191249934574e+00,5.506448391298703893e-01
