"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000000000026e+00,1.309487915817010e-11,0.000000000000000e+00,8.506682263340017e-12,2.426116361384375e-11,-7.899194794847235e-14,1.000000000000007e+00,1.774823934929907e+00,-4.345841578553148e-16,0.000000000000000e+00,9.999999999999893e-01,-3.776744989076250e-97,0.000000000000000e+00,5.075000000000002e+00,1,9.750000201165676e-03,9.750000201165676e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000027e+00,1.491174364530065e-11,0.000000000000000e+00,1.080025419078121e-11,2.804852189958799e-11,-1.108551735709546e-13,1.000000000000008e+00,1.774823934929908e+00,-9.350109315898387e-16,0.000000000000000e+00,9.999999999999891e-01,-4.769034714071677e-97,0.000000000000000e+00,5.075000000000002e+00,1,9.999999776482582e-03,9.999999776482582e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000037e+00,2.256142576227464e-11,0.000000000000000e+00,9.584404624045298e-12,4.903833158013043e-11,-4.603284160366935e-14,1.000000000000014e+00,1.774823934929916e+00,-5.771477827614834e-15,0.000000000000000e+00,9.999999999999850e-01,6.190630311885795e-97,0.000000000000000e+00,5.075000000000002e+00,1,1.025000028312206e-02,1.025000028312206e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000035e+00,1.941483502696245e-11,0.000000000000000e+00,7.387285634010478e-12,4.212172498499713e-11,-4.915595310010600e-14,1.000000000000014e+00,1.774823934929914e+00,-5.485907752452688e-15,0.000000000000000e+00,9.999999999999860e-01,3.984607503790755e-97,0.000000000000000e+00,5.075000000000002e+00,1,1.049999985843897e-02,1.049999985843897e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000033e+00,1.626823256966579e-11,0.000000000000000e+00,5.190158459055741e-12,3.520509262345034e-11,-5.227907623105605e-14,1.000000000000014e+00,1.774823934929912e+00,-5.200336613457056e-15,0.000000000000000e+00,9.999999999999867e-01,1.778576477606390e-97,0.000000000000000e+00,5.075000000000003e+00,1,1.075000036507845e-02,1.075000036507845e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000031e+00,1.312164183435299e-11,0.000000000000000e+00,2.993039469020950e-12,2.828848602831478e-11,-5.540218772748946e-14,1.000000000000015e+00,1.774823934929910e+00,-4.914766538294661e-15,0.000000000000000e+00,9.999999999999877e-01,-4.274463304886654e-98,0.000000000000000e+00,5.075000000000003e+00,1,1.099999994039536e-02,1.099999994039536e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000029e+00,9.975039377056341e-12,0.000000000000000e+00,7.959122940661943e-13,2.137185366676805e-11,-5.852531085843968e-14,1.000000000000016e+00,1.774823934929909e+00,-4.629195399299030e-15,0.000000000000000e+00,9.999999999999886e-01,-2.633477356673047e-97,0.000000000000000e+00,5.075000000000003e+00,1,1.125000044703484e-02,1.125000044703484e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000028e+00,8.141513379470999e-12,0.000000000000000e+00,-4.789958843774826e-13,1.729681739919176e-11,-5.431931033117244e-14,1.000000000000016e+00,1.774823934929908e+00,-4.223188238472706e-15,0.000000000000000e+00,9.999999999999890e-01,-3.202167567621620e-97,0.000000000000000e+00,5.075000000000003e+00,1,1.150000002235174e-02,1.150000002235174e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000028e+00,7.776033137071282e-12,0.000000000000000e+00,-7.228447186442511e-13,1.639874197564287e-11,-4.191914276359202e-14,1.000000000000015e+00,1.774823934929908e+00,-3.682528804002467e-15,0.000000000000000e+00,9.999999999999893e-01,-1.940270831860344e-97,0.000000000000000e+00,5.075000000000004e+00,1,1.174999959766865e-02,1.174999959766865e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000027e+00,7.410551533148874e-12,0.000000000000000e+00,-9.666944613202780e-13,1.550066320649490e-11,-2.951892900170870e-14,1.000000000000014e+00,1.774823934929907e+00,-3.141867355415099e-15,0.000000000000000e+00,9.999999999999892e-01,-6.783693951594240e-98,0.000000000000000e+00,5.075000000000004e+00,1,1.200000010430813e-02,1.200000010430813e-02,4.000000059604645e-01,5.000000000000000e-01
