#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
    1160  3.938448282E-04  2.326325996E-06  1.000000000E+04  3.226714057E+04  1.054027538E+00  4.199944868E+07  9.049858770E+10  8.655761460E+10  7.664592825E+10  1.878049230E+14  2.154799857E+06
    1180  4.403713482E-04  2.326325996E-06  1.000000000E+04  2.587586873E+04  8.452524067E-01  4.090180909E+07  1.051496304E+11  8.402437800E+10  8.665792812E+10  2.205305839E+14  2.515932835E+06
    1200  4.868978681E-04  2.326325996E-06  1.000000000E+04  2.002622203E+04  6.541698192E-01  4.235237828E+07  1.005480682E+11  6.872744901E+10  8.240930512E+10  2.048843181E+14  2.482168330E+06
    1220  5.334243880E-04  2.326325996E-06  1.000000000E+04  1.498835838E+04  4.896046631E-01  4.073897686E+07  9.958186549E+10  6.724251843E+10  7.615775521E+10  1.924863800E+14  2.395219264E+06
    1240  5.799509079E-04  2.326325996E-06  1.000000000E+04  1.079363746E+04  3.525813235E-01  4.063873587E+07  9.662159329E+10  6.606852265E+10  7.087470213E+10  1.785131845E+14  2.263538741E+06
    1260  6.264774278E-04  2.326325996E-06  1.000000000E+04  7.356768089E+03  2.403137068E-01  4.036254571E+07  8.892876782E+10  6.000609334E+10  6.443615415E+10  1.629396820E+14  2.097723723E+06
    1280  6.730039478E-04  2.326325996E-06  1.000000000E+04  4.659620807E+03  1.522096028E-01  3.809378904E+07  8.006316074E+10  5.284112734E+10  5.724805543E+10  1.478101100E+14  1.927688127E+06
    1300  7.195304677E-04  2.326325996E-06  1.000000000E+04  2.718919332E+03  8.881530249E-02  2.087293365E+07  4.764062062E+10  2.816557141E+10  2.949479903E+10  9.138512823E+13  1.222476025E+06
    1320  7.660569876E-04  2.326325996E-06  1.000000000E+04  1.546141864E+03  5.050574901E-02  1.422499664E+07  3.137839298E+10  2.474867391E+10  1.876975705E+10  6.406987079E+13  9.209433163E+05
    1340  8.125835075E-04  2.326325996E-06  1.000000000E+04  8.767233412E+02  2.863874917E-02  8.152858542E+06  2.443819592E+10  1.428547067E+10  1.420569394E+10  4.889430455E+13  7.041757600E+05
    1360  8.408095206E-04  1.341476794E-06  5.766503906E+03  5.090721340E+02  1.662917875E-02  2.271971364E+05  1.327160549E+08  6.304599032E+07  5.515040155E+07  1.034287111E+11  2.268022189E+03
    1380  1.116298307E-03  9.814187796E-06  4.218750000E+04  1.110693035E+01  3.628152434E-04  1.032541995E+04  2.449869046E+07  1.325261152E+07  9.367394403E+06  4.659352090E+10  1.183332395E+03
    1400  1.504572112E-03  2.326325996E-05  1.000000000E+05  1.996142927E-01  6.520533206E-06  2.527865199E+02  5.743421940E+05  3.261659583E+05  1.904436138E+05  1.079842681E+09  2.727249653E+01
    1420  1.865152641E-03  1.163163002E-05  5.000000000E+04  1.236751941E-03  4.039932206E-08  3.825895471E+02  2.393899953E+05  2.432204253E+05  2.587813989E+05  8.296415550E+08  3.316973961E-01
    1440  2.177275618E-03  1.656144191E-05  7.119140625E+04  4.326347480E-05  1.413230086E-09  1.529491212E+01  7.991469855E+03  9.234196180E+03  9.844956726E+03  3.268667490E+07  1.041085903E-02
    1460  2.478027601E-03  1.104096127E-05  4.746093750E+04  2.342487006E-06  7.651889102E-11  9.341633881E-01  4.898578320E+02  5.639349215E+02  6.016096247E+02  1.993465791E+06  6.554798603E-04
    1480  2.736983260E-03  1.492212804E-05  6.414461285E+04  1.740559827E-07  5.685654067E-12  8.865249474E-03  5.657225935E+00  5.682791344E+00  6.024829630E+00  1.941520230E+04  1.084149223E-05
    1500  2.890168231E-03  6.295272766E-06  2.706100855E+04  5.023728190E-08  1.641034118E-12  2.109418932E-04  1.463182808E-01  9.223267398E-02  8.778812601E-02  4.008099329E+02  2.095704547E-06
    1520  2.959416231E-03  3.147636383E-06  1.353050427E+04  3.574382185E-08  1.167595637E-12  2.038118872E-04  1.339734463E-01  8.549802813E-02  8.393686847E-02  3.800675943E+02  9.482146980E-07
